XZI Gare_de_Lorraine_TGV Metz–Nancy France
YNJ Yanji_Chaoyangchuan_Airport Yanji,_Jilin China
YNT Yantai_Laishan_International_Airport Yantai,_Shandong China
YBP Yibin_Caiba_Airport Yibin,_Sichuan China
YIH Yichang_Sanxia_Airport Yichang,_Hubei China
YIC Yichun_Mingyueshan_Airport Yichun,_Jiangxi China
YLN Yilan_Airport Yilan,_Heilongjiang China
INC Yinchuan_Airport_(Hedong_Airport) Yinchuan,_Ningxia China
YIN Yining_Airport Yining,_Xinjiang China
YIW Yiwu_Airport Yiwu,_Zhejiang China
LLF Yongzhou_Lingling_Airport Yongzhou,_Hunan China
YUA Yuanmou_Airport Yuanmou,_Yunnan China
YUS Yushu_Batang_Airport Yushu_County,_Qinghai China
DYG Zhangjiajie_Hehua_Airport_(formerly_Dayong_Airport) Zhangjiajie,_Hunan China
ZQZ Zhangjiakou_Airport Zhangjiakou,_Hebei_Province China
YZY Zhangye_Ganzhou_Airport Zhangye,_Gansu China
ZHA Zhanjiang_Airport Zhanjiang,_Guangdong China
ZAT Zhaotong_Airport Zhaotong,_Yunnan China
YIU Yiwu_Railway_Station Zhejiang China
CGO Zhengzhou_Xinzheng_International_Airport Zhengzhou,_Henan China
HJJ Zhijiang_Airport Zhijiang,_Hubei China
ZHY Zhongwei_Xiangshan_Airport Zhongwei,_Ningxia China
HSN Zhoushan_Putuoshan_Airport Zhoushan,_Zhejiang China
ZUH Zhuhai_Sanzao_Airport Zhuhai,_Guangdong China
ZYI Zunyi_Airport Zunyi,_Guizhou China
DYN Danyang_Railway_Station N/A China
ACD Alcides_Fernández_Airport Acandí Colombia
ARF Acaricuara_Airport Acaricuara Colombia
ACL Cesar_Airport Aguaclara Colombia
AFI Amalfi_Airport Amalfi Colombia
ADN Andes_Airport Andes Colombia
APO Antonio_Roldán_Betancourt_Airport Apartadó Colombia
API Gomez_Nino-Apiay_Airport Apiay Colombia
ACR Araracuara_Airport Araracuara Colombia
AUC Santiago_Pérez_Airport Arauca Colombia
ARQ Arauquita_Airport_(El_Troncal) Arauquita Colombia
ARO Arboletas_Airport Arboletas Colombia
ACM Arica_Airport Arica,_Amazonas Colombia
AXM El_Edén_International_Airport Armenia Colombia
AYA Ayapel_Airport Ayapel Colombia
BHF Bahía_Cupica_Airport Bahía_Cupica Colombia
BSC José_Celestino_Mutis_Airport Bahía_Solano Colombia
BAC Barranca_de_Upia_Airport Barranca_de_Upia,_Meta Colombia
EJA Yarigüies_Airport Barrancabermeja Colombia
BAQ Ernesto_Cortissoz_International_Airport Barranquilla Colombia
BOG El_Dorado_International_Airport Bogotá Colombia
BGA Palonegro_Airport Bucaramanga Colombia
BUN Gerardo_Tobar_López_Airport Buenaventura,_Valle_del_Cauca Colombia
CLO Alfonso_Bonilla_Aragón_International_Airport Cali Colombia
CJD Candilejas_Airport Candilejas Colombia
CPB Capurgana_Airport Capurganá Colombia
CQT Caquetania_Airport Caquetania Colombia
CTG Rafael_Núñez_International_Airport Cartagena Colombia
CRC Santa_Ana_Airport Cartago Colombia
CUO Caruru_Airport Caruru Colombia
CSR Casuarito_Airport Casuarito Colombia
CAQ Caucasia_Airport Caucasia,_Antioquia Colombia
CPL General_Navas_Pardo_Airport Chaparral Colombia
IGO Chigorodó_Airport Chigorodó Colombia
IVO Chivolo_Airport Chivolo Colombia
CIM Cimitarra_Airport Cimitarra Colombia
DZI Codazzi_Airport Codazzi Colombia
COG Mandinga_Airport Condoto Colombia
CZU Las_Brujas_Airport Corozal Colombia
CVE Coveñas_Airport Coveñas Colombia
CUC Camilo_Daza_International_Airport Cúcuta Colombia
CUI Curillo_Airport Curillo Colombia
EBG El_Bagre_Airport El_Bagre Colombia
ELB Las_Flores_Airport El_Banco Colombia
ECR El_Charco_Airport El_Charco Colombia
ECO El_Encanto_Airport El_Encanto Colombia
ELJ El_Recreo_Airport El_Recreo Colombia
FLA Gustavo_Artunduaga_Paredes_Airport Florencia,_Caquetá Colombia
FDA Fundación_Airport Fundación Colombia
GRA Gamarra_Airport Gamarra Colombia
LGT Gaviotas_Airport Gaviotas,_Vichada Colombia
GIR Santiago_Vila_Airport Girardot Colombia
GCA Guacamaya_Airport Guacamaya Colombia
GAA Guamal_Airport Guamal Colombia
GPI Guapi_Airport Guapi Colombia
GMC Guerima_Airport Guerima Colombia
HTZ Hato_Corozal_Airport Hato_Corozal Colombia
HRR Herrera_Airport Herrera Colombia
IBE Perales_Airport Ibagué Colombia
IPI San_Luis_Airport Ipiales Colombia
ISD Iscuande_Airport Iscuande Colombia
JUO Juradó_Airport Juradó Colombia
LCR La_Chorrera_Airport La_Chorrera Colombia
LMC La_Macarena_Airport La_Macarena Colombia
LPD La_Pedrera_Airport La_Pedrera Colombia
LPE La_Primavera_Airport La_Primavera,_Vichada Colombia
LET Alfredo_Vásquez_Cobo_International_Airport Leticia Colombia
LMX Lopez_de_Micay_Airport Lopez_de_Micay Colombia
LRI Lorica_Airport Lorica Colombia
MGN Baracoa_Airport Magangué,_Bolívar Colombia
MCJ Jorge_Isaacs_Airport_(La_Mina_Airport) Maicao,_La_Guajira Colombia
MZL La_Nubia_Airport_(Santaguida_Airport) Manizales Colombia
MQU Mariquita_Airport Mariquita,_Tolima_Department Colombia
EOH Olaya_Herrera_Airport Medellín Colombia
MDE José_María_Córdova_International_Airport Medellín Colombia
MFS Miraflores_Airport Miraflores,_Guaviare Colombia
MIX Miriti_Airport Miriti Colombia
MVP Fabio_Alberto_León_Bentley_Airport Mitú Colombia
MMP Mompóx_Airport_(Cicuco_Airport) Mompóx Colombia
MFB Monfort_Airport Monfort Colombia
MTB Monte_Libano_Airport Monte_Libano Colombia
MTR Los_Garzones_Airport Montería,_Córdoba Colombia
MOY Monterrey_Airport Monterrey Colombia
MHF Morichal_Airport Morichal Colombia
ULS Mulatos_Airport Mulatos Colombia
NVA Benito_Salas_Airport Neiva Colombia
NQU Reyes_Murillo_Airport Nuquí Colombia
PSO Antonio_Nariño_Airport Pasto Colombia
PEI Matecaña_International_Airport Pereira Colombia
PPN Guillermo_León_Valencia_Airport Popayán Colombia
PVA El_Embrujo_Airport Providencia_Island Colombia
PUU Tres_de_Mayo_Airport Puerto_Asís Colombia
PCR Puerto_Carreño_Airport Puerto_Carreño Colombia
PDA Obando_Airport Puerto_Inírida Colombia
LGZ Leguizamo_Airport Puerto_Leguizamo Colombia
LQM Caucayá_Airport Puerto_Leguízamo Colombia
CCO Carimagua_Airport Puerto_López,_Meta Colombia
UIB El_Caraño_Airport Quibdó Colombia
RCH Almirante_Padilla_Airport Riohacha Colombia
ADZ Gustavo_Rojas_Pinilla_International_Airport San_Andres_Island Colombia
SJE Jorge_Enrique_González_Airport San_José_del_Guaviare Colombia
SMR Simón_Bolívar_International_Airport Santa_Marta Colombia
RVE Los_Colonizadores_Airport Saravena Colombia
TTM Tablón_de_Tamara_Airport Tablón_de_Tamara Colombia
TME Gabriel_Vargas_Santos_Airport Tame,_Arauca Colombia
UNC Unguía_Airport Unguía Colombia
URI Uribe_Airport Uribe Colombia
VUP Alfonso_López_Pumarejo_Airport Valledupar Colombia
VGZ Villa_Garzón_Airport Villa_Garzón Colombia
AYG Yaguara_Airport Yaguara Colombia
AYI Yari_Airport Yari Colombia
EYP El_Alcaraván_Airport Yopal Colombia
AZT Zapatoca_Airport Zapatoca Colombia
AJN Ouani_Airport Anjouan Comoros
YVA Iconi_Airport Moroni Comoros
HAH Prince_Said_Ibrahim_International_Airport Moroni Comoros
AIT Aitutaki_Island_Airport Aitutaki Cook_Islands
AIU Atiu_Island_Airport Atiu_Island Cook_Islands
RAR Rarotonga_International_Airport Avarua Cook_Islands
MGS Mangaia_Island_Airport Mangaia_Island Cook_Islands
MHX Manihiki_Island_Airport Manihiki_Island Cook_Islands
MUK Akatoka_Manava_Airport_(Mauke_Airport) Mauke_Island Cook_Islands
MOI Mitiaro_Island_Airport Mitiaro_Island Cook_Islands
BCL Barra_del_Colorado_Airport Barra_del_Colorado Costa_Rica
BAI Buenos_Aires_Airport Buenos_Aires Costa_Rica
CSC Canas_Airport Canas Costa_Rica
RIK Carrillo_Airport Carrillo Costa_Rica
OTR Coto_47_Airport Coto_47 Costa_Rica
DRK Drake_Bay_Airport Drake_Bay Costa_Rica
GLF Golfito_Airport Golfito Costa_Rica
GPL Guápiles_Airport Guápiles Costa_Rica
FON La_Fortuna_Airport La_Fortuna Costa_Rica
LCS Las_Canas_Airport Las_Canas Costa_Rica
LIR Daniel_Oduber_Quirós_International_Airport Liberia Costa_Rica
LSL Los_Chiles_Airport Los_Chiles Costa_Rica
NOB Nosara_Airport Nosara Costa_Rica
PMZ Palmar_Sur_Airport Palmar_Sur Costa_Rica
PJM Puerto_Jimenez_Airport Puerto_Jimenez Costa_Rica
LIO Puerto_Limón_International_Airport Puerto_Limón Costa_Rica
PBP Punta_Islita_Airport Punta_Islita Costa_Rica
XQP Quepos_Managua_Airport Quepos Costa_Rica
SYQ Tobías_Bolaños_International_Airport San_José Costa_Rica
SJO Juan_Santamaría_International_Airport San_José Costa_Rica
TNO Tamarindo_Airport Tamarindo Costa_Rica
TMU Tambor_Airport Tambor Costa_Rica
TTQ Tortuguero_Airport Tortuguero Costa_Rica
UPL Upala_Airport Upala Costa_Rica
ABJ Port_Bouet_Airport Abidjan Côte_d'Ivoire
ABO Aboisso_Airport Aboisso Côte_d'Ivoire
BBV Bereby_Airport Bereby Côte_d'Ivoire
BDK Soko_Airport Bondoukou Côte_d'Ivoire
BRZ Borotou_Airport Borotou Côte_d'Ivoire
BYK Bouaké_Airport Bouaké Côte_d'Ivoire
BQO Bouna_Airport Bouna Côte_d'Ivoire
BXI Boundiali_Airport Boundiali Côte_d'Ivoire
BUU Buyo_Airport Buyo Côte_d'Ivoire
DIM Dimbokro_Airport Dimbokro Côte_d'Ivoire
FEK Ferkessédougou_Airport Ferkessédougou Côte_d'Ivoire
GGN Gagnoa_Airport Gagnoa Côte_d'Ivoire
GGO Guiglo_Airport Guiglo Côte_d'Ivoire
KTC Katiola_Airport Katiola Côte_d'Ivoire
HGO Korhogo_Airport Korhogo Côte_d'Ivoire
LKT Lakota_Airport Lakota Côte_d'Ivoire
MJC Man_Airport Man Côte_d'Ivoire
MOK Mankono_Airport Mankono Côte_d'Ivoire
KEO Odienné_Airport Odienné Côte_d'Ivoire
ZSS Sassandra_Airport Sassandra Côte_d'Ivoire
ASK Yamoussoukro_Airport Yamoussoukro Côte_d'Ivoire
ZUE Zuenoula_Airport Zuenoula Côte_d'Ivoire
DJO Daloa_Airport Daloa Côte_d'Ivoire_(Ivory_Coast)
DNC Danane_Airport Danane Côte_d'Ivoire_(Ivory_Coast)
DIV Divo_Airport Divo Côte_d'Ivoire_(Ivory_Coast)
BWK Bol_Airport Bol Croatia
DBV Dubrovnik_Airport Dubrovnik,_Dubrovnik-Neretva_County Croatia
LSZ Mali_Losinj_Airport Mali_Lošinj,_Lošinj Croatia
OSI Osijek_Airport Osijek Croatia
PUY Pula_Airport Pula Croatia
RJK Rijeka_Airport Rijeka Croatia
SPU Split_Airport Split Croatia
ZAD Zadar_Airport Zadar Croatia
ZAG Zagreb_Airport_(Pleso_Airport) Zagreb Croatia
BCA Gustavo_Rizo_Airport Baracoa Cuba
BYM Carlos_Manuel_de_Céspedes_Airport Bayamo Cuba
CMW Camagüey-Ignacio_Agramonte_Airport Camagüey Cuba
CCC Jardines_del_Rey_Airport Cayo_Coco Cuba
CYO Vilo_Acuña_Airport Cayo_Largo_del_Sur Cuba
AVI Máximo_Gómez_Airport Ciego_de_Ávila Cuba
CFG Jaime_González_Airport Cienfuegos Cuba
GAO Mariana_Grajales_Airport_(Los_Canos_Airport) Guantánamo Cuba
NBW NAS_Guantanamo_Bay Guantanamo_Bay Cuba
PST Preston_Airport Guatemala Cuba
HAV José_Martí_International_Airport Havana Cuba
HOG Frank_País_Airport Holguín Cuba
LCL La_Coloma_Airport La_Coloma Cuba
UMA Punta_de_Maisi_Airport Maisí,_Guantánamo_Province Cuba
MZO Sierra_Maestra_Airport Manzanillo Cuba
MJG Mayajigua_Airport Mayajigua Cuba
MOA Orestes_Acosta_Airport Moa Cuba
ICR Nicaro_Airport Nicaro Cuba
GER Rafael_Perez_Airport Nueva_Gerona Cuba
SNU Abel_Santamaría_Airport Santa_Clara Cuba
SCU Antonio_Maceo_International_Airport Santiago Cuba
VRA Juan_Gualberto_Gómez_Airport Varadero,_Matanzas_Province Cuba
VRO Kawama_Airport Varadero,_Matanzas_Province Cuba
AKT RAF_Akrotiri Akrotiri Cyprus
EPK Episkopi_Airport Episkopi Cyprus
LCA Larnaca_International_Airport Larnaca Cyprus
GEC Lefkoniko_Airport Lefkoniko Cyprus
PFO Paphos_International_Airport Paphos Cyprus
BRQ Brno-Turany_Airport Brno Czech_Republic
GTW Holešov_Airport Holešov,_Zlín Czech_Republic
KLV Karlovy_Vary_Airport Karlovy_Vary Czech_Republic
MKA Mariánské_Lázn?_Airport Mariánské_Lázn? Czech_Republic
OLO Olomouc_Airport Olomouc Czech_Republic
OSR Ostrava-Mosnov_International_Airport Ostrava Czech_Republic
PED Pardubice_Airport Pardubice Czech_Republic
PRG Václav_Havel_Airport_Prague Prague Czech_Republic
XYG Praha_hlavní_nádraží Prague Czech_Republic
XYJ Praha-Holešovice Prague Czech_Republic
UHE Kunovice_Airport Uherské_Hradišt? Czech_Republic
VOD Vodochody_Airport Vodochody Czech_Republic
ZBE Dolní_Benesov_Airport Záb?eh Czech_Republic
FDU Bandundu_Airport Bandundu Democratic_Republic_of_the_Congo
BSU Basankusu_Airport Basankusu Democratic_Republic_of_the_Congo
BAN Basongo_Airport Basongo Democratic_Republic_of_the_Congo
BNC Beni_Airport Beni,_Nord-Kivu Democratic_Republic_of_the_Congo
BNB Boende_Airport Boende Democratic_Republic_of_the_Congo
BOA Boma_Airport Boma Democratic_Republic_of_the_Congo
BKY Kavumu_Airport Bukavu Democratic_Republic_of_the_Congo
BMB Bumbar_Airport Bumbar Democratic_Republic_of_the_Congo
BUX Bunia_Airport Bunia,_Ituri Democratic_Republic_of_the_Congo
BZU Buta_Zega_Airport Buta_Zega Democratic_Republic_of_the_Congo
GDJ Gandajika_Airport Gandajika Democratic_Republic_of_the_Congo
BDT Gbadolite_Airport Gbadolite Democratic_Republic_of_the_Congo
GMA Gemana_Airport Gemana Democratic_Republic_of_the_Congo
GOM Goma_Airport Goma Democratic_Republic_of_the_Congo
IDF Idiofa_Airport Idiofa Democratic_Republic_of_the_Congo
IKL Ikela_Airport Ikela Democratic_Republic_of_the_Congo
INO Inongo_Airport Inongo Democratic_Republic_of_the_Congo
IRP Matari_Airport Isiro Democratic_Republic_of_the_Congo
KBO Kabalo_Airport Kabalo Democratic_Republic_of_the_Congo
KBN Tunta_Airport Kabinda Democratic_Republic_of_the_Congo
FMI Kalemie_Airport Kalemie Democratic_Republic_of_the_Congo
KLY Kalima_Airport_(Kinkungwa_Airport,_Kakungwa_Airport) Kalima Democratic_Republic_of_the_Congo
KMN Kamina_Air_Base Kamina Democratic_Republic_of_the_Congo
KGA Kananga_Airport Kananga Democratic_Republic_of_the_Congo
KNM Kaniama_Airport Kaniama Democratic_Republic_of_the_Congo
KAP Kapanga_Airport Kapanga Democratic_Republic_of_the_Congo
KEC Kasenga_Airport Kasenga Democratic_Republic_of_the_Congo
KGN Kasongo_Lunda_Airport Kasongo_Lunda Democratic_Republic_of_the_Congo
KKW Kikwit_Airport Kikwit Democratic_Republic_of_the_Congo
KIL Kilwa_Airport Kilwa Democratic_Republic_of_the_Congo
KND Kindu_Airport Kindu Democratic_Republic_of_the_Congo
FIH N'djili_Airport_(Kinshasa_International) Kinshasa Democratic_Republic_of_the_Congo
KRZ Kiri_Airport_(Basango_Mboliasa_Airport) Kiri Democratic_Republic_of_the_Congo
FKI Bangoka_International_Airport Kisangani Democratic_Republic_of_the_Congo
KWZ Kolwezi_Airport Kolwezi,_Lualaba_District Democratic_Republic_of_the_Congo
KOO Kongolo_Airport Kongolo Democratic_Republic_of_the_Congo
KLI Kota_Koli_Airport Kota_Koli Democratic_Republic_of_the_Congo
LIE Libenge_Airport Libenge Democratic_Republic_of_the_Congo
LIQ Lisala_Airport Lisala Democratic_Republic_of_the_Congo
LJA Lodja_Airport Lodja Democratic_Republic_of_the_Congo
FBM Lubumbashi_International_Airport Lubumbashi Democratic_Republic_of_the_Congo
LZA Luiza_Airport Luiza Democratic_Republic_of_the_Congo
LZI Luozi_Airport Luozi Democratic_Republic_of_the_Congo
LBO Lusambo_Airport Lusambo Democratic_Republic_of_the_Congo
LUS Lusanga_Airport Lusanga Democratic_Republic_of_the_Congo
MNO Manono_Airport Manono Democratic_Republic_of_the_Congo
MSM Masi_Manimba_Airport Masi_Manimba Democratic_Republic_of_the_Congo
MAT Tshimpi_Airport_(Matadi_Airport) Matadi Democratic_Republic_of_the_Congo
MDK Mbandaka_Airport Mbandaka Democratic_Republic_of_the_Congo
MJM Mbuji_Mayi_Airport Mbuji_Mayi Democratic_Republic_of_the_Congo
BDV Moba_Airport Moba Democratic_Republic_of_the_Congo
MNB Muanda_Airport_(Moanda_Airport) Muanda_(Moanda) Democratic_Republic_of_the_Congo
MEW Mweka_Airport Mweka Democratic_Republic_of_the_Congo
NIO Nioki_Airport Nioki Democratic_Republic_of_the_Congo
NKL Nkolo_Airport Nkolo Democratic_Republic_of_the_Congo
YAN Yangambi_Airport Yangambi Democratic_Republic_of_the_Congo
AAL Aalborg_Airport Aalborg Denmark
AAR Aarhus_Airport Aarhus Denmark
BLL Billund_Airport Billund Denmark
CPH Copenhagen_Airport,_Kastrup_Airport Copenhagen_(København) Denmark
EBJ Esbjerg_Airport Esbjerg Denmark
KRP Karup_Airport Karup Denmark
BYR Læsø_Airport Læsø Denmark
MRW Maribo_Airport_(Lolland_Falster_Airport) Lolland_Falster Denmark
ODE Odense_Airport Odense Denmark
RNN Bornholm_Airport Rønne Denmark
RKE Roskilde_Airport Roskilde Denmark
CNL Sindal_Airport Sindal Denmark
SQW Skive_Airport Skive Denmark
STA Stauning_Vestjylland_Airport Skjern Denmark
SGD Sønderborg_Airport Sønderborg Denmark
TED Thisted_Airport Thisted Denmark
SKS Skrydstrup_Airport Vojens Denmark
ZGH Copenhagen_Central_Station N/A Denmark
AII Ali-Sabieh_Airport Ali-Sabieh Djibouti
JIB Ambouli_Airport Djibouti Djibouti
MHI Moucha_Airport Moucha_Island Djibouti
OBC Obock_Airport Obock Djibouti
DCF Canefield_Airport Canefield Dominica
DOM Melville_Hall_Airport Melville_Hall Dominica
BRX Maria_Montez_International_Airport Barahona Dominican_Republic
COZ Constanza_Airport Constanza Dominican_Republic
AZS Samaná_El_Catey_International_Airport El_Catey,_Samaná Dominican_Republic
JBQ La_Isabela_International_Airport La_Isabela Dominican_Republic
LRM La_Romana_International_Airport_(Casa_de_Campo_International_Airport) La_Romana Dominican_Republic
CBJ Cabo_Rojo_Airport Pedernales Dominican_Republic
PUJ Punta_Cana_International_Airport Punta_Cana Dominican_Republic
SDQ Las_Américas_International_Airport Punta_Caucedo Dominican_Republic
EPS Arroyo_Barril_International_Airport Samaná Dominican_Republic
POP Puerto_Plata_Airport San_Felipe_de_Puerto_Plata Dominican_Republic
STI Cibao_International_Airport Santiago Dominican_Republic
HEX Herrera_International_Airport_(closed) Santo_Domingo Dominican_Republic
BPN Sultan_Aji_Muhamad_Sulaiman_Airport Balikpapan East_Kalimantan
AUT Atauro_Airport Atauro_Island East_Timor
BCH Cakung_Airport Baucau East_Timor
VIQ Viqueque_Airport Viqueque East_Timor
DIC City_Heliport Dili East_Timor_(Timor-Leste)
DIL Presidente_Nicolau_Lobato_International_Airport Dili East_Timor_(Timor-Leste)
MPT Maliana_Airport Maliana East_Timor_(Timor-Leste)
ATF Chachoan_Airport Ambato Ecuador
BHA Los_Perales Bahía_de_Caráquez Ecuador
GPS Seymour_Airport Baltra_Island,_Galápagos_Islands Ecuador
OCC Francisco_de_Orellana_Airport Coca Ecuador
CUE Mariscal_Lamar_Airport Cuenca Ecuador
ESM General_Rivadeneira_Airport Esmeraldas Ecuador
JIP Jipijapa_Airport Jipijapa Ecuador
LTX Cotopaxi_International_Airport Latacunga Ecuador
LOH Camilo_Ponce_Enriquez_Airport Loja Ecuador
MRR José_María_Velasco_Ibarra_Airport Macará Ecuador
XMS Macas_Airport_(Edmundo_Carvajal_Airport) Macas Ecuador
MCH GENERAL_Serrano_Airport_(Machala_Airport) Machala Ecuador
MEC Eloy_Alfaro_International_Airport Manta,_Manabí Ecuador
MZD Mendez_Airport Mendez Ecuador
LGQ Lago_Agrio_Airport Nueva_Loja Ecuador
PVO Reales_Tamarindos_Airport Portoviejo Ecuador
UIO Mariscal_Sucre_International_Airport Quito Ecuador
SNC General_Ulpiano_Paez_Airport Salinas Ecuador
SCY San_Cristóbal_Airport San_Cristóbal_Island,_Galápagos_Islands Ecuador
ETR Santa_Rosa_Airport Santa_Rosa,_El_Oro Ecuador
GYE José_Joaquín_de_Olmedo_International_Airport Santiago_de_Guayaquil Ecuador
PTZ Rio_Amazonas_Airport Shell_Mera Ecuador
TUA Teniente_Coronel_Luis_a_Mantilla_International_Airport Tulcán Ecuador
AUE Abu_Rudeis_Airport Abu_Rudeis Egypt
ABS Abu_Simbel_Airport Abu_Simbel Egypt
ALY Alexandria_International_Airport Alexandria Egypt
HBE Borg_El_Arab_Airport Alexandria_/_Borg_El_Arab Egypt
ATZ Assiut_Airport Assiut Egypt
ASW Aswan_International_Airport Aswan Egypt
CAI Cairo_International_Airport Cairo Egypt
DAK Dakhla_Oasis_Airport Dakhla_Oasis Egypt
QUD Damanhur_Airport Damanhur Egypt
AAC El_Arish_International_Airport El_Arish Egypt
EMY El_Minya_Airport El_Minya Egypt
ELT Tour_Sinai_City_Airport El_Tor Egypt
HRG Hurghada_International_Airport Hurghada Egypt
LXR Luxor_International_Airport Luxor Egypt
RMF Marsa_Alam Marsa_Alam Egypt
MUH Mersa_Matruh_Airport Mersa_Matruh Egypt
RAF Ras_an-Naqb_Airport Ras_an-Naqb Egypt
SSH Sharm_el-Sheikh_International_Airport Sharm_el-Sheikh Egypt
GSQ Sharq_Al-Owainat_Airport Sharq_Al-Owainat Egypt
SKV St.Catherine_International_Airport St.Catherine Egypt
TCP Taba_International_Airport Taba Egypt
SAL El_Salvador_International_Airport San_Salvador El_Salvador
IPW Ipswich_Airport_(closed_1996) Ipswich England
ASM Asmara_International_Airport Asmara Eritrea
ASA Assab_International_Airport Assab Eritrea
MSW Massawa_International_Airport Massawa Eritrea
SEN London_Southend_Airport Southend Essex_United_Kingdom
KDL Kärdla_Airport Kärdla,_Hiiumaa Estonia
URE Kuressaare_Airport Kuressaare,_Saaremaa Estonia
EPU Pärnu_Airport Pärnu Estonia
TLL Lennart_Meri_Tallinn_Airport Tallinn Estonia
TAY Tartu-Ülenurme_Airport Tartu Estonia
ADD Bole_International_Airport Addis_Ababa Ethiopia
AMH Arba_Minch_Airport Arba_Minch Ethiopia
ALK Asella_Airport Asella Ethiopia
ASO Asosa_Airport Asosa Ethiopia
AWH Awareh_Airport Awareh Ethiopia
AWA Awasa_Airport Awasa Ethiopia
AXU Axum_Airport Axum Ethiopia
BJR Bahar_Dar_Airport Bahar_Dar Ethiopia
XBL Bedele_Airport Bedele Ethiopia
BEI Beica_Airport Beica Ethiopia
BCY Bulchi_Airport Bulchi Ethiopia
MKD Chagni_Airport Chagni Ethiopia
DBM Debre_Marcos_Airport Debre_Marcos Ethiopia
DBT Debre_Tabor_Airport Debre_Tabor Ethiopia
DGC Degahbur_Airport Degahbur Ethiopia
DEM Dembidolo_Airport Dembidolo Ethiopia
DSE Combolcha_Airport Dessie_/_Kombolcha Ethiopia
DIR Aba_Tenna_Dejazmach_Yilma_International_Airport Dire_Dawa Ethiopia
FNH Fincha_Airport Fincha Ethiopia
GMB Gambela_Airport Gambela Ethiopia
GLC Geladi_Airport Geladi Ethiopia
ETE Genda_Wuha_Airport Genda_Wuha Ethiopia
GHD Ghimbi_Airport Ghimbi Ethiopia
GNN Ghinnir_Airport Ghinnir Ethiopia
GOB Robe_Airport Goba Ethiopia
GDE Gode_Airport_(Iddidole_Airport) Gode Ethiopia
GDQ Gondar_Airport Gondar Ethiopia
GOR Gore_Airport Gore Ethiopia
HUE Humera_Airport Humera Ethiopia
JIJ Jijiga_Airport Jijiga Ethiopia
JIM Aba_Segud_Airport Jimma Ethiopia
BCO Baco_Airport_(Jinka_Airport) Jinka Ethiopia
ABK Kabri_Dar_Airport Kabri_Dar_(Kabre_Dare) Ethiopia
LFO Kelafo_Airport_(Kelafo_Airport) Kelafo Ethiopia
LLI Lalibela_Airport Lalibela Ethiopia
MKS Mekane_Selam_Airport Mekane_Selam Ethiopia
MQX Alula_Aba_Nega_Airport Mekelle,_Tigray Ethiopia
MZX Mena_Airport Mena Ethiopia
NDM Mendi_Airport Mendi Ethiopia
MHJ Misrak_Gashamo_Airport Misrak_Gashamo Ethiopia
MTF Mizan_Teferi_Airport Mizan_Teferi Ethiopia
MYS Moyale_Airport Moyale Ethiopia
MUJ Mui_Airport Mui Ethiopia
EGL Neghele_Airport Negele_Boran Ethiopia
HIL Shilabo_Airport Shilabo Ethiopia
MPN RAF_Mount_Pleasant Falkland_Islands Falkland_Islands_(Malvinas)
FAE Vágar_Airport Sørvágur Faroe_Islands
ULI Falalop_Island_Airport Falalop_Island,_Yap Federated_States_of_Micronesia
PNI Pohnpei_International_Airport Kolonia Federated_States_of_Micronesia
KSA Kosrae_International_Airport Kosrae Federated_States_of_Micronesia
TKK Chuuk_International_Airport Weno Federated_States_of_Micronesia
YAP Yap_International_Airport Yap Federated_States_of_Micronesia
NEV Vance_W.Amory_International_Airport Nevis Federation_of_Saint_Kitts_and_Nevis
BVF Dama_Airport Bua Fiji
LEV Levuka_Airfield Bureta,_Ovalau_Island Fiji
ICI Cicia_Airport Cicia Fiji
KXF Koro_Airport Koro_Island Fiji
KVU Korolevu_Airport Korolevu,_Viti_Levu Fiji
LBS Labasa_Airport Labasa Fiji
LKB Lakeba_Island_Airport Lakeba_Island Fiji
LUC Laucala_Island_Airport Laucala_Island Fiji
MNF Mana_Island_Airport Mana_Island Fiji
MFJ Moala_Airport Moala,_Moala_Islands Fiji
NAN Nadi_International_Airport Nadi Fiji
BXL Nanuya_Lailai_Airport Nanuya_Lailai Fiji
CST Castaway_Island_Resort_Airport Qalito,_Mamanuca_Islands Fiji
AQS Saqani_Airport Saqani Fiji
SUV Nausori_International_Airport Suva_/_Nausori,_Viti_Levu Fiji
KDV Vunisea_Airport_(Kandavu_Airport) Vunisea,_Kadavu_Island Fiji
KAY Wakaya_Island_Airport Wakaya_Island Fiji
YAS Yasawa_Island_Airport Yasawa_Island Fiji
ENF Enontekiö_Airport Enontekiö Finland
HEC Helsinki_Central_Railway_Station Helsinki Finland
HVT Tikkurila_Railway_Station Helsinki Finland
HEM Helsinki-Malmi_Airport Helsinki_/_Malmi Finland
HEL Helsinki_Airport Helsinki_/_Vantaa Finland
HYV Hyvinkää_Airport Hyvinkää Finland
IVL Ivalo_Airport Ivalo Finland
JOE Joensuu_Airport Joensuu Finland
VRK Varkaus_Airport Joroinen Finland
JYV Jyväskylä_Airport Jyväskylä Finland
KAJ Kajaani_Airport Kajaani Finland
KHJ Kauhajoki_Airport Kauhajoki Finland
KAU Kauhava_Airport Kauhava Finland
KEM Kemi-Tornio_Airport Kemi_/_Tornio Finland
KTQ Kitee_Airport Kitee Finland
KTT Kittilä_Airport Kittilä Finland
KOK Kokkola-Pietarsaari_Airport Kokkola_/_Jakobstad Finland
KUO Kuopio_Airport Kuopio_/_Siilinjärvi Finland
KEV Halli_Airport Kuorevesi Finland
