XZI Gare_de_Lorraine_TGV Metz–Nancy France
COR Ingeniero_Ambrosio_L.V._Taravella_International_Airport_(Pajas_Blancas) Córdoba,_Córdoba Argentina
CSZ Brigadier_Hector_Eduardo_Ruiz_Airport Coronel_Suárez,_Buenos_Aires Argentina
CNQ Doctor_Fernando_Piragine_Niveyro_International_Airport Corrientes,_Corrientes Argentina
UZU Curuzú_Cuatiá_Airport Curuzú_Cuatiá,_Corrientes Argentina
CUT Cutral_Có_Airport Cutral_Có,_Neuquén Argentina
EHL El_Bolson_Airport El_Bolsón,_Río_Negro Argentina
ING Lago_Argentino_Airport_(closed_2006) El_Calafate,_Santa_Cruz Argentina
FTE Comandante_Armando_Tola_International_Airport El_Calafate,_Santa_Cruz_Province Argentina
EMX El_Maitén_Airport El_Maitén,_Neuquén Argentina
ELO Eldorado_Airport Eldorado,_Misiones Argentina
EQS Esquel_Airport Esquel,_Chubut_Province Argentina
EZE Ministro_Pistarini_International_Airport Ezeiza Argentina
FMA Formosa_International_Airport_(El_Pucú_Airport) Formosa Argentina
GPO General_Pico_Airport General_Pico,_La_Pampa Argentina
GNR Dr._Arturo_Umberto_Illia_Airport General_Roca,_Río_Negro Argentina
GGS Gobernador_Gregores_Airport Gobernador_Gregores,_Santa_Cruz Argentina
GHU Gualeguaychú_Airport Gualeguaychú,_Entre_Ríos Argentina
IGB C._FAA_H.R._Borden_Airport_(Ingeniero_Jacobacci_Airport) Ingeniero_Jacobacci,_Río_Negro Argentina
JSM José_de_San_Martín_Airport José_de_San_Martín,_Chubut Argentina
JNI Junín_Airport Junín,_Buenos_Aires Argentina
LCM La_Cumbre_Airport La_Cumbre,_Córdoba Argentina
LPG La_Plata_International_Airport La_Plata,_Buenos_Aires Argentina
IRJ Capitán_Vicente_Almandos_Almonacid_Airport La_Rioja Argentina
LHS Las_Heras_Airport Las_Heras,_Santa_Cruz Argentina
LLS Alferez_Armando_Rodriguez Las_Lomitas,_Formosa Argentina
LCP Loncopué_Airport Loncopué,_Neuquén Argentina
LMD Los_Menucos_Airport Los_Menucos,_Río_Negro Argentina
LGS Comodoro_D._Ricardo_Salomón_Airport_(Malargüe_Airport) Malargüe,_Mendoza Argentina
MQD Maquinchao_Airport Maquinchao,_Río_Negro_Province Argentina
MDQ Astor_Piazzolla_International_Airport Mar_del_Plata,_Buenos_Aires_Province Argentina
MDZ Gov.Francisco_Gabrielli_International_Airport_(El_Plumerillo) Mendoza,_Mendoza_Province Argentina
MDX Mercedes_Airport Mercedes,_Corrientes Argentina
MJR Miramar_Airport Miramar,_Buenos_Aires Argentina
MCS Monte_Caseros_Airport Monte_Caseros,_Corrientes Argentina
NEC Necochea_Airport Necochea,_Buenos_Aires Argentina
NQN Presidente_Perón_International_Airport Neuquen Argentina
OVR Olavarría_Airport Olavarría Argentina
ORA Orán_Airport Orán,_Salta_Province Argentina
PRA GENERAL_Justo_José_de_Urquiza_Airport Paraná,_Entre_Ríos Argentina
AOL Paso_de_los_Libres_Airport Paso_de_los_Libres,_Corrientes Argentina
PEH Comodoro_P.Zanni_Airport Pehuajó Argentina
PMQ Perito_Moreno_Airport Perito_Moreno,_Santa_Cruz Argentina
